"yt";"issued";"title";"value";"color";"type"
"19b";1862;"Louis Napoleon (1808-1873)";"1 French centime";"Bronze green";"timbre"
20;1862;"Emperor Napoléon III";"5 French centime";"Green";"timbre"
"20a";1862;"Louis Napoleon (1808-1873)";"5 French centime";"Dark green";"timbre"
21;1862;"Emperor Napoléon III";"10 French centime";"Bistre";"timbre"
"21a";1862;"Louis Napoleon (1808-1873)";"10 French centime";"Yellow bistre";"timbre"
"21b";1862;"Louis Napoleon (1808-1873)";"10 French centime";"Dull brown";"timbre"
22;1862;"Emperor Napoléon III";"20 French centime";"Blue";"timbre"
"22a";1862;"Louis Napoleon (1808-1873)";"20 French centime";"Dark blue";"timbre"
23;1862;"Emperor Napoléon III";"40 French centime";"Orange";"timbre"
"23a";1862;"Louis Napoleon (1808-1873)";"40 French centime";"Light orange";"timbre"
"23b";1862;"Louis Napoleon (1808-1873)";"40 French centime";"Bright orange";"timbre"
24;1862;"Emperor Napoléon III";"80 French centime";"Pink";"timbre"
"24a";1862;"Louis Napoleon (1808-1873)";"80 French centime";"Dark pink";"timbre"
25;1870;"Emperor Napoléon III";"1 French centime";"Bronze";"timbre"
"25a";1870;"Louis Napoleon (1808-1873)";"1 French centime";"Olive";"timbre"
"26A";1862;"Emperor Napoléon III";"2 French centime";"Red Brown";"timbre"
"26Aa";1862;"Louis Napoleon (1808-1873)";"2 French centime";"Chocolate";"timbre"
"27Ab";1863;"Louis Napoleon (1808-1873)";"4 French centime";"Lilac grey";"timbre"
"27B";1866;"Emperor Napoléon III";"4 French centime";"Grey";"timbre"
"28A";1867;"Emperor Napoléon III";"10 French centime";"Bistre";"timbre"
"28B";1868;"Louis Napoleon (1808-1873)";"10 French centime";"Bistre";"timbre"
"29A";1867;"Louis Napoleon (1808-1873)";"20 French centime";"Blue";"timbre"
"29Aa";1867;"Emperor Napoléon III";"20 French centime";"Dark blue";"timbre"
"29B";1868;"Louis Napoleon (1808-1873)";"20 French centime";"Blue";"timbre"
"29Ba";1868;"Louis Napoleon (1808-1873)";"20 French centime";"Dark blue";"timbre"
"29Bd";1868;"Louis Napoleon (1808-1873)";"20 French centime";"Blue";"timbre"
30;1867;"Emperor Napoléon III";"30 French centime";"Brown";"timbre"
"30a";1867;"Louis Napoleon (1808-1873)";"30 French centime";"Light brown";"timbre"
"30b";1867;"Louis Napoleon (1808-1873)";"30 French centime";"Brown black";"timbre"
31;1868;"Emperor Napoléon III";"40 French centime";"Orange";"timbre"
"31a";1868;"Louis Napoleon (1808-1873)";"40 French centime";"Pale orange";"timbre"
"31b";1868;"Louis Napoleon (1808-1873)";"40 French centime";"Bright orange";"timbre"
32;1867;"Emperor Napoléon III";"80 French centime";"Pink";"timbre"
"32a";1867;"Louis Napoleon (1808-1873)";"80 French centime";"Carmine rose";"timbre"
33;1869;"Emperor Napoléon III";"5 French centime";"Grey lilac";"timbre"
"33a";1869;"Louis Napoleon (1808-1873)";"5 French centime";"Grey blue";"timbre"
34;1871;"Not issued overprint";"10 French centime";"Bistre";"timbre"
35;1872;"Emperor Napoléon III";"5 French centime";"Green";"timbre"
36;1870;"Ceres";"10 French centime";"Yellow bistre";"timbre"
37;1870;"Ceres";"20 French centime";"Blue";"timbre"
"37a";1870;"Ceres";"20 French centime";"Dark blue";"timbre"
38;1870;"Ceres";"40 French centime";"Orange";"timbre"
"38d";1870;"Ceres";"40 French centime";"Orange";"timbre"
"39A";1870;"Ceres";"1 French centime";"Olive";"timbre"
"39B";1870;"Ceres";"1 French centime";"Olive";"timbre"
"39Ba";1870;"Ceres";"1 French centime";"Dark olive";"timbre"
"39C";1870;"Ceres";"1 French centime";"Olive";"timbre"
"39Ca";1870;"Ceres";"1 French centime";"Light olive";"timbre"
"39Cb";1870;"Ceres";"1 French centime";"Dark olive";"timbre"
"39Cc";1870;"Ceres";"1 French centime";"Bronze green";"timbre"
"40A";1870;"Ceres";"2 French centime";"Chocolate";"timbre"
"40Aa";1870;"Ceres";"2 French centime";"Chocolate";"timbre"
"40Ab";1870;"Ceres";"2 French centime";"Brown red";"timbre"
"40B";1870;"Ceres";"2 French centime";"Brown red";"timbre"
"40Ba";1870;"Ceres";"2 French centime";"Brick red";"timbre"
"40Bb";1870;"Ceres";"2 French centime";"Maroon";"timbre"
"40Bc";1870;"Ceres";"2 French centime";"Chocolate";"timbre"
"40Bf";1870;"Ceres";"2 French centime";"Brick red";"timbre"
"41A";1870;"Ceres";"4 French centime";"Grey";"timbre"
"41Aa";1870;"Ceres";"4 French centime";"Grey yellow";"timbre"
"41B";1870;"Ceres";"4 French centime";"Grey";"timbre"
"41Ba";1870;"Ceres";"4 French centime";"Grey yellow";"timbre"
"41Bb";1870;"Ceres";"4 French centime";"Grey lilac";"timbre"
"41Bc";1870;"Ceres";"4 French centime";"Grey black";"timbre"
"42A";1870;"Ceres";"5 French centime";"Yellowish green";"timbre"
"42B";1870;"Ceres";"5 French centime";"Yellow green";"timbre"
"42Ba";1870;"Ceres";"5 French centime";"Dark yellow green";"timbre"
"42Bb";1870;"Ceres";"5 French centime";"Dark emerald green";"timbre"
"42Bc";1870;"Ceres";"5 French centime";"Grey green";"timbre"
"42Bd";1870;"Ceres";"5 French centime";"Greenish";"timbre"
"42Be";1870;"Ceres";"5 French centime";"Dark green";"timbre"
"43A";1870;"Ceres";"10 French centime";"Yellow brown";"timbre"
"43Aa";1870;"Ceres";"10 French centime";"Light brown";"timbre"
"43Ab";1870;"Ceres";"10 French centime";"Dark brown olive";"timbre"
"43B";1871;"Ceres";"10 French centime";"Yellow bistre";"timbre"
"43Ba";1871;"Ceres";"10 French centime";"Dark brown orange";"timbre"
"43Bb";1871;"Ceres";"10 French centime";"Dark brown olive";"timbre"
"43Bc";1871;"Ceres";"10 French centime";"Citron yellow";"timbre"
"44A";1870;"Ceres";"20 French centime";"Blue";"timbre"
"44Aa";1870;"Ceres";"20 French centime";"Dark blue";"timbre"
"44Ab";1870;"Ceres";"20 French centime";"Ultramarine";"timbre"
"44B";1870;"Ceres";"20 French centime";"Blue";"timbre"
"44Ba";1870;"Ceres";"20 French centime";"Dark blue";"timbre"
"45A";1870;"Ceres";"20 French centime";"Blue";"timbre"
"45Aa";1870;"Ceres";"20 French centime";"Dark blue";"timbre"
"45Ab";1870;"Ceres";"20 French centime";"Black blue";"timbre"
"45B";1870;"Ceres";"20 French centime";"Blue";"timbre"
"45Ba";1870;"Ceres";"20 French centime";"Dark blue";"timbre"
"45C";1870;"Ceres";"20 French centime";"Blue";"timbre"
"45Ca";1870;"Ceres";"20 French centime";"Dark blue";"timbre"
"45Cb";1870;"Ceres";"20 French centime";"Ultramarine";"timbre"
"46A";1870;"Ceres";"20 French centime";"Blue";"timbre"
"46Aa";1871;"Ceres";"20 French centime";"Light blue";"timbre"
"46Ab";1871;"Ceres";"20 French centime";"Dark blue";"timbre"
"46Ac";1871;"Ceres";"20 French centime";"Grey blue";"timbre"
"46Ad";1871;"Ceres";"20 French centime";"Ultramarine";"timbre"
"46B";1871;"Ceres";"20 French centime";"Blue";"timbre"
"46Ba";1871;"Ceres";"20 French centime";"Dark blue";"timbre"
"46Bb";1871;"Ceres";"20 French centime";"Grey blue";"timbre"
47;1870;"Ceres";"30 French centime";"Brown";"timbre"
"47a";1870;"Ceres";"30 French centime";"Light brown";"timbre"
"47b";1870;"Ceres";"30 French centime";"Black brown";"timbre"
"47c";1870;"Ceres";"30 French centime";"Brownish olive";"timbre"
"47d";1870;"Ceres";"30 French centime";"Dark brown";"timbre"
48;1870;"Ceres";"40 French centime";"Orange";"timbre"
"48a";1870;"Ceres";"40 French centime";"Bright orange";"timbre"
"48b";1870;"Ceres";"40 French centime";"Citron yellow";"timbre"
"48c";1870;"Ceres";"40 French centime";"Red orange";"timbre"
"48d";1870;"Ceres";"40 French centime";"Light reddish carmine";"timbre"
"48e";1870;"Ceres";"40 French centime";"Dark reddish carmine";"timbre"
"48f";1870;"Ceres";"40 French centime";"Ochre";"timbre"
"48g";1870;"Ceres";"40 French centime";"Vermilion";"timbre"
49;1870;"Ceres";"80 French centime";"Pink";"timbre"
"49a";1870;"Ceres";"80 French centime";"Light pink";"timbre"
"49b";1870;"Ceres";"80 French centime";"Bright pink";"timbre"
"49c";1870;"Ceres";"80 French centime";"Carmine rose";"timbre"
"49d";1870;"Ceres";"80 French centime";"Dark red lilac";"timbre"
"49e";1870;"Ceres";"80 French centime";"Salmon";"timbre"
50;1872;"Ceres";"1 French centime";"Olive green";"timbre"
51;1872;"Ceres";"2 French centime";"Brown red";"timbre"
52;1872;"Ceres";"4 French centime";"Grey";"timbre"
53;1872;"Ceres";"5 French centime";"Yellow green";"timbre"
54;1875;"Ceres";"10 French centime";"Brown";"timbre"
55;1873;"Ceres";"15 French centime";"Bistre";"timbre"
56;1872;"Ceres";"30 French centime";"Brown";"timbre"
57;1872;"Ceres";"80 French centime";"Pink";"timbre"
58;1873;"Ceres";"10 French centime";"Brown";"timbre"
59;1871;"Ceres";"15 French centime";"Bistre";"timbre"
"60A";1871;"Ceres";"25 French centime";"Blue";"timbre"
"60Aa";1871;"Ceres";"25 French centime";"Dark blue";"timbre"
"60B";1871;"Ceres";"25 French centime";"Blue";"timbre"
"60C";1874;"Ceres";"25 French centime";"Blue";"timbre"
61;1876;"Peace and commerce (Type Sage)";"1 French centime";"Green";"timbre"
62;1876;"Peace and commerce (Type Sage)";"2 French centime";"Green";"timbre"
63;1876;"Peace and commerce (Type Sage)";"4 French centime";"Green";"timbre"
64;1876;"Peace and commerce (Type Sage)";"5 French centime";"Green";"timbre"
65;1876;"Peace and commerce (Type Sage)";"10 French centime";"Green";"timbre"
66;1876;"Peace and commerce (Type Sage)";"15 French centime";"Lilac grey";"timbre"
67;1876;"Peace and commerce (Type Sage)";"20 French centime";"Red Brown";"timbre"
68;1876;"Peace and Commerce (Type Sage)";"25 French centime";"Ultramarine";"timbre"
69;1876;"Peace and commerce (Type Sage)";"30 French centime";"Light brown";"timbre"
70;1878;"Peace and commerce (Type Sage)";"40 French centime";"Orange red";"timbre"
71;1876;"Peace and commerce (Type Sage)";"75 French centime";"Carmine rose";"timbre"
72;1876;"Peace and commerce (Type Sage)";"1 ₣ - French franc";"Bronze";"timbre"
73;1876;"Peace and commerce (Type Sage)";"20 French centime";"Blue";"timbre"
74;1876;"Peace and commerce (Type Sage)";"2 French centime";"Green";"timbre"
75;1876;"Peace and commerce (Type Sage)";"5 French centime";"Green";"timbre"
"75e";1876;"Peace and commerce (Type Sage)";"5 French centime";"Dark green";"timbre"
"75f";1876;"Peace and commerce (Type Sage)";"5 French centime";"Green";"timbre"
76;1876;"Peace and commerce (Type Sage)";"10 French centime";"Green";"timbre"
77;1876;"Peace and commerce (Type Sage)";"15 French centime";"Grey";"timbre"
78;1876;"Peace and Commerce (Type Sage)";"25 French centime";"Ultramarine";"timbre"
"78e";1876;"Peace and Commerce (Type Sage)";"25 French centime";"Bright ultramarine";"timbre"
79;1877;"Peace and Commerce (Type Sage)";"25 French centime";"Blue";"timbre"
80;1881;"Peace and commerce (Type Sage)";"30 French centime";"Yellow brown";"timbre"
"80a";1881;"Peace And Commerce";"30 French centime";"Brown";"timbre"
81;1885;"Peace and commerce (Type Sage)";"75 French centime";"Carmine rose";"timbre"
82;1883;"Peace and commerce (Type Sage)";"1 ₣ - French franc";"Green olive | Olive";"timbre"
83;1877;"Peace and commerce (Type Sage)";"1 French centime";"Black";"timbre"
"83a";1877;"Peace and commerce (Type Sage)";"1 French centime";"Black";"timbre"
"83b";1877;"Peace and commerce";"1 French centime";"Black";"timbre"
84;1880;"Peace and Commerce (Type Sage)";"1 French centime";"Black";"timbre"
85;1877;"Peace and commerce (Type Sage)";"2 French centime";"Red Brown";"timbre"
"85a";1877;"Peace and commerce (Type Sage)";"2 French centime";"Dark brown";"timbre"
"85e";1877;"Peace and commerce (Type Sage)";"2 French centime";"Red Brown";"timbre"
86;1878;"Peace and commerce (Type Sage)";"3 French centime";"Yellow bistre";"timbre"
87;1880;"Peace and commerce (Type Sage)";"3 French centime";"Grey";"timbre"
88;1877;"Peace and commerce (Type Sage)";"4 French centime";"Brown lilac";"timbre"
"88a";1877;"Peace and commerce";"4 French centime";"Lilac";"timbre"
"88b";1877;"Peace and commerce";"4 French centime";"Dark lilac";"timbre"
89;1877;"Peace and commerce (Type Sage)";"10 French centime";"Black";"timbre"
"89a";1877;"Peace and commerce (Type Sage)";"10 French centime";"Black";"timbre"
"89e";1877;"Peace and commerce (Type Sage)";"10 French centime";"Black";"timbre"
90;1878;"Peace and commerce (Type Sage)";"15 French centime";"Blue";"timbre"
"90a";1878;"Peace and commerce (Type Sage)";"15 French centime";"Blue";"timbre"
91;1878;"Peace and Commerce (Type Sage)";"25 French centime";"Black";"timbre"
92;1879;"Peace and Commerce (Type Sage)";"25 French centime";"Bistre";"timbre"
"92a";1879;"Peace and Commerce (Type Sage)";"25 French centime";"Yellow";"timbre"
93;1878;"Peace and commerce (Type Sage)";"35 French centime";"Black violet";"timbre"
94;1881;"Peace and commerce (Type Sage)";"40 French centime";"Orange";"timbre"
"94a";1881;"Peace and commerce";"40 French centime";"Vermilion";"timbre"
95;1877;"Peace and commerce (Type Sage)";"5 ₣ - French franc";"Violet";"timbre"
96;1884;"Peace and commerce (Type Sage)";"20 French centime";"Brick red";"timbre"
97;1886;"Peace and Commerce (Type Sage)";"25 French centime";"Black";"timbre"
"97a";1886;"Peace and Commerce (Type Sage)";"25 French centime";"Black";"timbre"
98;1890;"Peace and commerce (Type Sage)";"50 French centime";"Pink";"timbre"
"98a";1890;"Peace and commerce";"50 French centime";"Pale pink";"timbre"
99;1890;"Peace and commerce (Type Sage)";"75 French centime";"Violet";"timbre"
101;1892;"Peace and commerce (Type Sage)";"15 French centime";"Blue";"timbre"
"101a";1892;"Peace and commerce (Type Sage)";"15 French centime";"Dark blue";"timbre"
102;1898;"Peace and commerce (Type Sage)";"5 French centime";"Yellow green";"timbre"
103;1898;"Peace and commerce (Type Sage)";"10 French centime";"Black";"timbre"
104;1900;"Peace and commerce (Type Sage)";"50 French centime";"Pink";"timbre"
105;1900;"Peace and Commerce (Type Sage)";"2 ₣ - French franc";"Bistre";"timbre"
106;1898;"Peace and commerce (Type Sage)";"5 French centime";"Yellow green";"timbre"
107;1900;"Allegorical subjects (Type Blanc)";"1 French centime";"Grey";"timbre"
"107a";1900;"Allegorical subjects (Type Blanc)";"1 French centime";"Slate";"timbre"
"107b";1900;"Allegorical subjects (Type Blanc)";"1 French centime";"Slate";"timbre"
"107c";1900;"Type Blanc";"1 French centime";"Grey";"timbre"
"107d";1916;"Allegorical subjects (Type Blanc)";"1 French centime";"Grey";"timbre"
"107f";1900;"Allegorical subjects (Type Blanc)";"1 French centime";"Grey";"timbre"
"107g";1900;"Allegorical subjects (Type Blanc)";"1 French centime";"Slate";"timbre"
"107i";1916;"Type Blanc";"1 French centime";"Grey";"timbre"
"107j";1916;"Type Blanc";"1 French centime";"Grey black";"timbre"
108;1900;"Allegorical subjects (Type Blanc)";"2 French centime";"Brown lilac";"timbre"
"108a";1900;"Allegorical subjects (Type Blanc)";"2 French centime";"Dark lilac brown";"timbre"
"108b";1900;"Allegorical subjects (Type Blanc)";"2 French centime";"Lilac brown";"timbre"
"108d";1900;"Allegorical subjects (Type Blanc)";"2 French centime";"Brown lilac";"timbre"
"108e";1900;"Allegorical subjects (Type Blanc)";"2 French centime";"Dark brown lilac";"timbre"
"108f";1917;"Type Blanc";"2 French centime";"Brown lilac";"timbre"
109;1900;"Allegorical subjects (Type Blanc)";"3 French centime";"Orange";"timbre"
"109a";1900;"Allegorical subjects (Type Blanc)";"3 French centime";"Orange red";"timbre"
"109b";1900;"Allegorical subjects (Type Blanc)";"3 French centime";"Red";"timbre"
"109c";1930;"Allegorical subjects (Type Blanc)";"3 French centime";"Orange";"timbre"
"109e";1900;"Allegorical subjects (Type Blanc)";"3 French centime";"Orange";"timbre"
"109f";1900;"Allegorical subjects (Type Blanc)";"3 French centime";"Orange red";"timbre"
"109g";1900;"Allegorical subjects (Type Blanc)";"3 French centime";"Red";"timbre"
110;1900;"Allegorical subjects (Type Blanc)";"4 French centime";"Brown yellow";"timbre"
"110a";1900;"Allegorical subjects (Type Blanc)";"4 French centime";"Brown";"timbre"
"110b";1900;"Allegorical subjects (Type Blanc)";"4 French centime";"Dark brown";"timbre"
111;1925;"Allegorical subjects (Type Blanc)";"5 French centime";"Green";"timbre"
"111a";1925;"Allegorical subjects (Type Blanc)";"5 French centime";"Green";"timbre"
"111b";1900;"Type Blanc";"5 French centime";"Bright yellow green";"timbre"
"111c";1902;"Type Blanc";"5 French centime";"Blue green";"timbre"
"111d";1902;"Allegorical subjects (Type Blanc)";"5 French centime";"Green";"timbre"
"111e";1900;"Type Blanc";"5 French centime";"Green";"timbre"
112;1900;"Type Mouchon";"10 French centime";"Pink";"timbre"
113;1900;"Type Mouchon";"20 French centime";"Brown lilac";"timbre"
114;1900;"Type Mouchon";"25 French centime";"Blue";"timbre"
115;1900;"Type Mouchon";"30 French centime";"Violet";"timbre"
116;1900;"Type Mouchon";"10 French centime";"Red";"timbre"
117;1900;"Type Mouchon";"15 French centime";"Orange";"timbre"
"117a";1900;"Type Mouchon";"15 French centime";"Orange";"timbre"
118;1900;"Type Mouchon";"25 French centime";"Blue";"timbre"
119;1900;"Allegorical subjects (Type Merson)";"40 French centime";"Blue | Red";"timbre"
"119c";1900;"Allegorical subjects (Type Merson)";"40 French centime";"Red";"timbre"
"119d";1916;"Allegorical subjects (Type Merson)";"40 French centime";"Blue | Red";"timbre"
120;1900;"Allegorical subjects (Type Merson)";"50 French centime";"Brown | Grey";"timbre"
"120c";1900;"Allegorical subjects (Type Merson)";"50 French centime";"Brown";"timbre"
"120d";1916;"Allegorical subjects (Type Merson)";"50 French centime";"Brown | Grey";"timbre"
121;1900;"Allegorical subjects (Type Merson)";"1 ₣ - French franc";"Lilac red | Olive";"timbre"
"121f";1916;"Allegorical subjects (Type Merson)";"1 ₣ - French franc";"Lilac red | Olive";"timbre"
122;1900;"Allegorical subjects (Type Merson)";"2 ₣ - French franc";"Violet | Yellow";"timbre"
"122b";1900;"Allegorical subjects (Type Merson)";"2 ₣ - French franc";"Dark purple | Yellow";"timbre"
123;1900;"Allegorical subjects (Type Merson)";"5 ₣ - French franc";"Blue | Buff";"timbre"
124;1902;"Type Mouchon";"10 French centime";"Pink";"timbre"
125;1902;"Type Mouchon";"15 French centime";"Vermilion";"timbre"
126;1902;"Type Mouchon";"20 French centime";"Brown lilac";"timbre"
127;1902;"Type Mouchon";"25 French centime";"Blue";"timbre"
128;1902;"Type Mouchon";"30 French centime";"Violet";"timbre"
129;1903;"Semeuse lignée";"10 French centime";"Pink";"timbre"
"129a";1904;"Semeuse lignée";"10 French centime";"Pink";"timbre"
"129b";1904;"Semeuse lignée";"10 French centime";"Pink";"timbre"
"129c";1904;"Semeuse lignée";"10 French centime";"Dark pink";"timbre"
130;1903;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
"130a";1903;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
"130b";1904;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
"130c";1904;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
"130d";1917;"Semeuse lignée";"15 French centime";"Green";"timbre"
"130f";1923;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
"130j";1917;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
"130k";1917;"Semeuse lignée";"15 French centime";"Grey green";"timbre"
131;1903;"Semeuse lignée";"20 French centime";"Lilac brown";"timbre"
"131a";1903;"Semeuse lignée";"20 French centime";"Dark lilac brown";"timbre"
132;1903;"Semeuse lignée";"25 French centime";"Blue";"timbre"
"132a";1903;"Semeuse lignée";"25 French centime";"Dark blue";"timbre"
"132b";1903;"Semeuse lignée";"25 French centime";"Blue black";"timbre"
133;1903;"Semeuse lignée";"30 French centime";"Lilac";"timbre"
"133a";1903;"Semeuse lignée";"30 French centime";"Dark violet";"timbre"
"133b";1903;"Semeuse lignée";"30 French centime";"Dark violet brown";"timbre"
134;1906;"Semeuse with ground under feet";"10 French centime";"Red";"timbre"
"134a";1906;"Semeuse with ground under feet";"10 French centime";"Light red";"timbre"
"134d";1906;"Semeuse with ground under feet";"10 French centime";"Red";"timbre"
"134e";1906;"Semeuse with ground under feet";"10 French centime";"Light red";"timbre"
"134f";1906;"Semeuse with ground under feet";"10 French centime";"Dark red";"timbre"
135;1906;"Semeuse";"10 French centime";"Red";"timbre"
"135a";1906;"Semeuse";"10 French centime";"Dark red";"timbre"
"135b";1906;"Semeuse";"10 French centime";"Red";"timbre"
"135c";1906;"Semeuse";"10 French centime";"Red";"timbre"
136;1906;"Semeuse Camée";"35 French centime";"Light violet";"timbre"
137;1907;"Semeuse fond plein sans sol";"5 French centime";"Dark green";"timbre"
"137a";1907;"Semeuse camée";"5 French centime";"Light green";"timbre"
"137b";1907;"Semeuse camée";"5 French centime";"Green";"timbre"
"137d";1910;"Semeuse camée";"5 French centime";"Green";"timbre"
"137h";1916;"Semeuse camée";"5 French centime";"Dark green";"timbre"
"137j";1916;"Semeuse camée";"5 French centime";"Dark green";"timbre"
138;1907;"Semeuse fond plein sans sol";"10 French centime";"Red";"timbre"
"138a";1907;"Semeuse fond plein sans sol";"10 French centime";"Dark red";"timbre"
"138b";1907;"Semeuse camée";"10 French centime";"Red orange";"timbre"
"138c";1907;"Semeuse camée";"10 French centime";"Scarlet";"timbre"
"138d";1910;"Semeuse camée";"10 French centime";"Red";"timbre"
"138f";1907;"Agriculture women";"10 French centime";"Red";"timbre"
"138j";1916;"Semeuse camée";"10 French centime";"Red";"timbre"
"138k";1916;"Semeuse camée";"10 French centime";"Red";"timbre"
139;1907;"Semeuse fond plein sans sol";"20 French centime";"Brown red";"timbre"
"139a";1907;"Semeuse camée";"20 French centime";"Lilac brown";"timbre"
"139b";1907;"Semeuse camée";"20 French centime";"Dark brown";"timbre"
"139c";1924;"Semeuse camée";"20 French centime";"Brown red";"timbre"
"139e";1916;"Semeuse camée";"20 French centime";"Brown red";"timbre"
140;1920;"Semeuse fond plein sans sol";"25 French centime";"Blue";"timbre"
"140a-CI1";1911;"Semeuse camée surchargé";"25 French centime";"Dark blue";"timbre"
"140a";1907;"Semeuse camée";"25 French centime";"Dark blue";"timbre"
"140b";1907;"Semeuse camée";"25 French centime";"Blue black";"timbre"
"140c";1921;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140e";1919;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140g";1919;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140h";1924;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140j";1924;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140k";1922;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140l";1920;"Semeuse camée";"25 French centime";"Blue";"timbre"
"140r";1920;"Semeuse camée";"25 French centime";"Blue";"timbre"
141;1907;"Semeuse fond plein sans sol";"30 French centime";"Orange";"timbre"
"141a";1907;"Semeuse camée";"30 French centime";"Dark orange brown";"timbre"
"141c";1916;"Semeuse camée";"30 French centime";"Brown orange";"timbre"
142;1907;"Semeuse fond plein sans sol";"35 French centime";"Violet";"timbre"
"142a";1907;"Semeuse camée";"35 French centime";"Dark violet";"timbre"
"142b";1926;"Semeuse camée";"35 French centime";"Violet";"timbre"
"142d";1916;"Semeuse camée";"35 French centime";"Violet";"timbre"
"143-CI2";1923;"Allegorical subjects (Type Merson)";"45 French centime";"Blue | Green";"timbre"
143;1906;"Allégorie type Merson";"45 French centime";"Blue | Green";"timbre"
"143d";1916;"Allégorie type Merson";"45 French centime";"Blue | Green";"timbre"
144;1920;"Allégorie type Merson";"60 French centime";"Blue | Violet";"timbre"
"144a";1920;"Allégorie type Merson";"60 French centime";"Violet";"timbre"
"144b";1920;"Allégorie type Merson";"60 French centime";"Blue | Violet";"timbre"
"144c";1920;"Allégorie type Merson";"60 French centime";"Blue | Violet";"timbre"
